sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
TRUCHAS,MELGAR,ASOCIACION MULTIPRODUCTORA DE AGROINDUSTRIAS LLALLI,CONSERVA EN ACEITE VEGETAL Y SAL,40,PUNO,0,240,0,11107105,LLALLI,,
TRUCHAS,MELGAR,ASOCIACION MULTIPRODUCTORA DE AGROINDUSTRIAS LLALLI,CONSERVA EN SALSA DE TOMATE,30,PUNO,0,300,0,11107105,LLALLI,,
TRUCHAS,MELGAR,ASOCIACION MULTIPRODUCTORA DE AGROINDUSTRIAS LLALLI,CONSERVA AHUMADA,5,PUNO,0,225,0,11107105,LLALLI,,
TRUCHAS,MELGAR,ASOCIACION MULTIPRODUCTORA DE AGROINDUSTRIAS LLALLI,TRUCHA FRESCA,6800,PUNO,18000,64600,2000,11107105,LLALLI,,
PANES Y OTROS,AZANGARO,ASOCIACION DE PANIFICADORES CENTRAL DE CAMINACA,PAN EN DIFERENTES VARIEDADES,23150,PUNO,4000,4472.5,2000,11107241,CAMINACA,,
PANES Y OTROS,AZANGARO,ASOCIACION DE PANIFICADORES CENTRAL DE CAMINACA,PASTELES DE DIFERENTES TIPOS,500,PUNO,0,750,0,11107241,CAMINACA,,
PANES Y OTROS,AZANGARO,ASOCIACION DE PANIFICADORES CENTRAL DE CAMINACA,BIZCOCHOS,5000,PUNO,0,5000,0,11107241,CAMINACA,,
TRUCHAS,PUNO,ASOCIACION DE PRODUCTORES PESQUEROS Y AGROPECUARIOS ACUARIOS - CUEVA,ALEVINOS,300000,PUNO,0,30000,0,11107256,PAUCARCOLLA,,
ALPACAS,PUNO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE LA PARCIALIDAD DE CHUNAHUI,ALPACAS,477,PUNO,37500,95400,250,11107290,TIQUILLACA,,
AVES DE CORRAL,PUNO,ASOCIACION DE PRODUCTORES AGROPECUARIAS AVÃCULAS Y ARTESANAS LAS MUJERES EMPRENDEDORAS DE MORO,HUEVOS,27040,PUNO,0,10816,0,11107359,PAUCARCOLLA,,
OVEJAS,PUNO,ASOCIACION DE PRODUCTORES AGROPECUARIOS ANTOÑANI - PAUCARCOLLA,ENGORDE DE OVINO,360,PUNO,0,90000,0,11107890,PAUCARCOLLA,,
SERVICIOS,SAN ROMAN,ASOCIACION DE TECNICOS AGROPECUARIOS LAGUNILLAS,CALIDAD DE ASISTENCIA TÃ‰CNICA (INSEMINACION ARTIFICIAL),320,PUNO,0,16000,0,11108600,CABANILLAS,,
SERVICIOS,SAN ROMAN,ASOCIACION DE TECNICOS AGROPECUARIOS LAGUNILLAS,ASISTENCIAS TÃ‰CNICAS (SERVICIO),3897,PUNO,0,58455,0,11108600,CABANILLAS,,
SERVICIOS,SAN ROMAN,CENTRO ESPECIALIZADO PARA ASISTENCIA TECNICA LAGUNILLAS CABANA,ASISTENCIAS TECNICAS  (SERVICIO),3240,PUNO,0,48600,0,11108610,CABANA,,
SERVICIOS,SAN ROMAN,CENTRO ESPECIALIZADO PARA ASISTENCIA TECNICA LAGUNILLAS CABANA,CALIDAD DE ASITENCIAS TECNICA  (INSEMINACION ARTIFICIAL),270,PUNO,0,13500,0,11108610,CABANA,,
EXTRACCION DE SAL Y DERIVADOS,AZANGARO,ASOCIACION DE EXTRACTORES DE SAL DEL SECTOR DE SALINAS,SAL PROCESADO,2220,PUNO,0,44400,0,11108801,SAN JUAN DE SALINAS,,
EXTRACCION DE SAL Y DERIVADOS,AZANGARO,ASOCIACION DE EXTRACTORES DE SAL DEL SECTOR DE SALINAS,SAL EN BRUTO,0,PUNO,3900,0,300,11108801,SAN JUAN DE SALINAS,,
TURISMO,PUNO,ASOCIACION DE TURISMO VIVENCIAL ARTESANAL INCA TORRE PARAMIS,PAQUETES DE TURISMO,20,PUNO,0,10000,0,11108923,CAPACHICA,,
TURISMO,PUNO,ASOCIACION DE TURISMO RURAL SOLIDARIO INCA SAMANA CCOLLPA - LLACHON,PAQUETES DE TURISMO,25,PUNO,0,3500,0,11108924,CAPACHICA,,
TURISMO,PUNO,ASOCIACION DE TURISMO VIVENCIAL COMUNITARIO ROCA ETERNA PARAMIS,VISITAS,25,PUNO,0,10000,0,11108932,CAPACHICA,,
OVEJAS,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS EN CRIANZA Y ENGORDE DE GANADO OVINO RAZA CORRIEDALE Y DE ANIMALES MENORES,OVINOS DE RAZA CORRIEDALE,24,PUNO,1800,23280,15,11108950,SAN JUAN DE SALINAS,,
TURISMO,PUNO,ASOCIACION DE TURISMO VIVENCIAL PACHA PAKARY - LLACHON,VISITAS,50,PUNO,1130,2750,50,11108989,CAPACHICA,,
AVES DE CORRAL,YUNGUYO,ASOCIACION DE PRODUCTORES AGROPECUARIOS KOTA HUAYNA- ANAPIA,"","",PUNO,"","","",11109103,ANAPIA,,
TUBERCULOS ANDINOS,YUNGUYO,ASOCIACION AGRO PESQUERA Y TURISTICA AYNI - ANAPIA,"","",PUNO,"","","",11109106,ANAPIA,,
OVEJAS,YUNGUYO,ASOCIACION DE PRODUCTORES AGROPECUARIOS LOS FANATICOS DEL TRIUNFO DE CHIMBO - CUTURAPI,GANADO OVINO,114,PUNO,0,17100,0,11109175,CUTURAPI,,
PELETERIA,YUNGUYO,ASOCIACION DE PRODUCTORES ARTESANALES VIRGEN DE LUJAN - TINICACHI,"","",PUNO,"","","",11109210,TINICACHI,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION DE VIANDERAS SANTA ROSITA DE HUANCARANI,CALDO DE CABEZA,400,CUSCO,880,2400,176,11109448,HUANCARANI,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION DE VIANDERAS SANTA ROSITA DE HUANCARANI,CALDO DE GALLINA,480,CUSCO,1040,2880,208,11109448,HUANCARANI,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION DE VIANDERAS SANTA ROSITA DE HUANCARANI,EXTRAS,320,CUSCO,0,2240,0,11109448,HUANCARANI,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION DE VIANDERAS SANTA ROSITA DE HUANCARANI,MENUS,2808,CUSCO,0,11232,0,11109448,HUANCARANI,,
ROPA,MELGAR,ASOCIACION CONFECCION TEXTIL SANTA ANA,CASACAS,30,PUNO,175,1350,5,11110190,LLALLI,,
ROPA,MELGAR,ASOCIACION CONFECCION TEXTIL SANTA ANA,MOCHILAS,100,PUNO,0,1500,0,11110190,LLALLI,,
ROPA,MELGAR,ASOCIACION CONFECCION TEXTIL SANTA ANA,DELANTAL MANDIL,29,PUNO,20,348,2,11110190,LLALLI,,
ROPA,MELGAR,ASOCIACION CONFECCION TEXTIL SANTA ANA,BUZO PANTALON,64,PUNO,110,768,10,11110190,LLALLI,,
ROPA,MELGAR,ASOCIACION CONFECCION TEXTIL SANTA ANA,CAMISETAS,12,PUNO,36,864,0.5,11110190,LLALLI,,
GASTRONOMIA,PUNO,ASOCIACION DE COMERCIANTES VIADERAS NIÑO SAN SALVADOR MERCADO CENTRAL KAPAC TTIQA - CAPACHICA,PREPARACION DE PLATOS GASTRONOMICOS (ANUAL),1170,PUNO,0,18720,0,11110302,CAPACHICA,,
